1 -4.838170 -3.482841 3.515154 
2 -10.122336 -4.596629 4.800929 
3 -8.872701 -4.480882 0.337321 
4 -5.247373 -8.926206 5.182538 
5 -6.010068 -10.542976 2.025230 
6 -4.729541 -7.997235 1.212357 
7 -1.647770 -1.986194 5.879121 
8 0.814647 3.730351 3.685228 
9 -1.513645 -0.351263 3.584998 
10 -2.181702 2.655112 2.433030 
11 -2.032619 1.784837 5.053280 
12 -1.233746 0.802599 5.585342 
13 -1.476055 1.316506 3.342783 
14 3.122697 1.939265 3.551076 
15 2.989652 2.006616 3.149003 
16 2.129641 2.045880 3.226614 
17 2.151930 1.895074 6.200116 
