1 -0.677586 -8.367046 4.377275 
2 0.767393 -8.733352 6.261571 
3 3.360728 5.200709 0.778891 
4 3.002613 4.333355 4.220090 
5 1.751771 4.910432 3.639657 
6 4.588010 5.754798 3.572633 
7 0.498478 0.974826 4.213264 
8 1.016023 4.772785 4.545053 
9 4.458422 4.930767 2.900091 
10 1.249143 4.175238 5.910951 
11 2.669559 3.973469 1.494498 
12 2.228771 3.397609 3.924714 
13 2.368997 2.179499 4.686131 
14 1.799753 3.331152 3.978917 
15 1.437992 3.325438 6.134968 
16 2.870276 3.188758 2.301563 
17 5.206007 3.319440 5.790371 
